train_loss,val_loss
2.1994917,2.4751818
2.1066637,2.5949178
2.0858715,2.4973752
2.066992,2.4841952
2.0700388,2.4889233
2.0551481,2.4547853
2.0472095,2.4354079
2.0451963,2.3980677
2.0386562,2.449413
2.034767,2.4178388
2.027268,2.414482
2.0251923,2.5166116
2.021746,2.3974352
2.016061,2.4014153
2.0076935,2.4280176
2.0031114,2.4098988
1.9985915,2.4297442
1.9903842,2.4887507
1.9788073,2.469047
1.976145,2.471062
1.9680817,2.5360773
1.9624298,2.6308653
1.965201,2.5089562
1.9470135,2.490884
1.9429094,2.531283
1.9406979,2.6046693
1.9475759,2.510181
1.9329451,2.4601572
1.9201138,2.5094333
1.9047049,2.5511482
1.8954394,2.6077547
1.8921406,2.6286821
