train_loss,val_loss
3.0167704,3.2104094
3.0062573,3.2220414
3.0081391,3.222076
3.0086935,3.2098322
3.013111,3.2097123
3.009675,3.3003938
3.0103517,3.3320074
3.006832,3.2106328
3.0082045,3.2156615
3.012192,3.2434816
3.0066404,3.3425295
2.9914522,3.4356475
2.3544881,2.6400573
2.3163655,2.886597
2.4106662,2.6814153
2.2284904,2.5495493
2.1955762,2.5456424
2.1664293,2.7472951
2.1438127,2.747763
2.4641576,2.7950122
2.278925,3.1863654
2.2673078,2.8120177
2.186404,2.755469
2.1752648,2.6259475
2.140273,2.5657015
2.2467752,2.7088919
2.1913726,2.5547178
2.293772,2.5733945
2.2158852,2.7305968
2.21992,2.684546
2.1189663,2.4964612
2.1781783,2.6678703
2.0875635,2.4403512
2.0766814,2.4940464
2.0694766,2.4731784
2.1986709,2.4403703
2.299193,2.645466
2.7046635,3.181695
2.9970644,3.2097151
3.0135095,3.2243521
3.0032227,3.209947
3.003072,3.22346
3.008328,3.2357383
3.0048606,3.24753
3.0006237,3.2384784
3.0069249,3.2106068
3.0033407,3.2118022
3.003777,3.2298923
3.0043087,3.2511215
3.0103602,3.209704
2.9999933,3.2140064
3.0010495,3.2263794
3.005848,3.2858126
3.0047889,3.2239194
3.0040007,3.224361
3.0040934,3.210009
3.0014808,3.209775
3.0051131,3.2344432
3.0015302,3.2162871
3.0043485,3.2171214
3.002207,3.211388
3.0011249,3.2342398
3.0017269,3.209721
2.9982233,3.2127447
2.999503,3.2099516
3.0021207,3.2157636
2.996148,3.2223332
2.99593,3.2285376
2.996072,3.2296097
2.998993,3.2118845
2.9990654,3.2185347
