seg_id,time_to_failure
seg_00030f,4.446865838867218
seg_0012b5,4.080284911151814
seg_00184e,4.804135545893935
seg_003339,8.184919398301993
seg_0042cc,6.524733772590828
seg_004314,1.3650776163361868
seg_004cd2,6.907958711536033
seg_004ee5,3.9485411602894445
seg_004f1f,5.178221511525756
seg_00648a,3.0508724792838464
seg_006e4a,3.123185744838686
seg_007a37,4.54486892839703
seg_00a37e,1.7669038651096187
seg_00be11,2.379745161956073
seg_00c35b,7.438254820061395
seg_00cc91,3.962299452391001
seg_00e5f7,5.890419125715546
seg_00f3b9,2.5757240845363256
seg_010eab,6.9135142090402795
seg_0125d9,4.958494984001284
seg_0144cb,4.717033179777339
seg_0165c6,8.030389679197818
seg_016913,1.7814157082124282
seg_016cdb,4.251825249850647
seg_017314,7.302764654107143
seg_01a8dc,5.127561832482009
seg_01c775,6.7752246482435865
seg_01ecb0,3.6888970794628975
seg_02042f,2.881638484005073
seg_025e78,5.420306380876703
seg_032822,2.3731640344434553
seg_0339ca,3.5889878772671935
seg_037461,1.3242592727496074
seg_038879,6.297947771503807
seg_03d386,-0.39724484338295696
seg_03d63e,3.097381440240845
seg_03d680,7.043060507016328
seg_03f380,2.2247198721182784
seg_0445d7,5.301685350287137
seg_046c28,2.7060636448244466
seg_0488a1,6.532809516366235
seg_049957,8.348179612543738
seg_04a696,7.774808509503039
seg_04ae38,4.7896878935811245
seg_04b87a,7.168143112865785
seg_04cceb,7.081633641539504
seg_04ee93,6.913083143585375
seg_04fd93,4.6154660315791105
seg_0536c9,2.6321288900020434
seg_055127,5.474328454826157
seg_05a1b0,3.4484394502745843
seg_05a4ad,6.452650367873851
seg_05b66a,8.166869337883675
seg_05bef4,3.1127893128526765
seg_05e0d7,3.555146800552741
seg_05f126,6.832333229568015
seg_05f9d6,6.567100551680035
seg_060ce4,2.813668902099728
seg_061a33,6.856113574491594
seg_0620e6,6.7454021104189295
seg_063865,6.207574480586466
seg_065588,3.424740187040136
seg_06893f,2.5399238061749045
seg_06b8c9,4.900361330919971
seg_06bbc5,3.9337517360130576
seg_06d4a2,2.726746727627308
seg_06d7ba,2.88322367477884
seg_070bb0,1.4396096283693467
seg_071067,3.228462138644666
seg_073696,7.8511014400450065
seg_075340,3.328747448811903
seg_075f77,2.716815298294371
seg_0775a7,1.9971155520564778
seg_077b7e,3.2059067500107474
seg_079e34,2.516404903081259
seg_07c815,3.7725856937271445
seg_07cd72,6.001901334364796
seg_07f37c,2.6158651386161935
seg_07f8df,3.8387513815417904
seg_07fc6d,6.919174297591219
seg_086a61,7.038329386081735
seg_0870ab,4.450328437242554
seg_0879a8,6.8813921613276605
seg_08b136,6.808110356012897
seg_08f441,1.6135908915188182
seg_08fd5b,3.9833071938868514
seg_091c9d,8.792281610635094
seg_093a0a,7.731331637087699
seg_0968f1,6.874646435159214
seg_0981f3,1.6785424746289053
seg_09dd59,6.595653135491723
seg_09ed4e,8.514299105120138
seg_09f0ff,3.553104924513157
